Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Steam Condensate Pumps,Steam Condensate,95,75.3,OH2,1,2,100,107,133,1.3,958,0.3,No,No,No,,No,0.43,2.61,7.46,3.6,1,118,29,51,1450,75,499,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,102-P-106-AB,Deep Blue,APIFLO-P 100K3-500A ,GA\SP-20-21\102-P-106-AB.pdf
C3+ Storage Pumps,C3+,66,74.4,OH2,1,3,45,45,45,14,592,0.12,No,No,No,Yes,No,14.18,14.18,18.5,3.1,2.5,64.5,16,60,2955,30,258,No,11 + 53B,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1702-ABC,CW Hydro,HB 80x50-250H,GA\Kangan-Olefin\20-P-1702-ABC.pdf
Diesel Oil Transfer Pump,Diesel Oil,10,73,OH2,1,2,48,48,48,0.01,850,3.5,No,No,Yes,,,-0.01,0.46,5.9,9.6,2.2,12.5,1.5,30,2930,11,231,No,11 + 52,,S-5,No,,Ex d IIB T4,Arvandan,0430-PA-002-AB,Deep Blue,APIFLO-P 25K2-250,GA\Arvandan\0430-PA-002-AB.pdf
Slop Oil Pumps,HC,5,73,OH2,1,2,83,83,83,1.3,700,0.4,Yes,No,Yes,,No,1.5,4.8,6.5,2.4,0.6,8.5,1.6,16,2900,7,244,No,11 + 53,46,D-1,,,Ex n IIA T3,SP 09-10,109-P-102-AB,KSB,RPH / 40-280,GA\SP-09-10\109-P-102-AB.pdf
Circulation Water Pump,Circulation Water (Sour Condensate),388,71.7,OH2,1,4,70,70,70,86.2,978,0.4,Yes,Yes,Yes,,No,0.7,4.38,7.57,4.38,3.2,410,96,77,1450,132,467,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-501-601-AB,Deep Blue,APIFLO-P 200K4-500 ,GA\SP-20-21\108-P-501-601-AB.pdf
Fresh MDEA Transfer Pump,MDEA,20,71.3,OH2,1,1,20,50,50,0.2,1100,100,Yes,No,Yes,,No,-0.1,0.52,6.9,4.6,3.4,28,,43,2950,18.5,249,No,11 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,146-P-101,IIP,OHC 50-250,GA\SP-20-21\146-P-101.pdf
SRU/TGT Condensate Pumps,LP Condensate,8.1,71,OH2,1,2,127,127,127,1.5,937,0.22,No ,No,No,,No,1.84,7.9,8.2,3,0.9,10,1.5,24.5,2950,11,227,No,23 + 61,40,S-8,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-445-P-2-AB-,DeepBlue,EAP 25K2-250-9,GA\Bushehr-Gas-Sweetening\01-445-P-2.pdf
Steam Condensate Pumps,Steam Condensate,2.8,71,OH2,1,2,104,104,104,1.17,955,0.27,,,,,,20.84,28.4,34.95,2.7,2,3,1,7,2950,11,235,No,23 + 61,40,S-6,No,Level 2,Safe Area,NGL 3100,P-3185-03-AS,Deep Blue,EAP 40-250B-35-XA,GA\NGL-3100\P-3185-03-AS.pdf
Wash Water Pump ,Wash water,1860,120,BB1,1,3,82,82,82,1.25,971,0.35,No,,,,No,3.77,3.77,15.19,20,4.3,,860,84,1480,1250,628,,11,40,S-6,,,Ex n IIB T3,Marun,10-P-2371-ABC,Ruhrpumpen,ZMII 630/05 ,GA\Marun\10-P-2371-ABC.pdf
Debutanizer Reflux Pump,Liquid Butane,344.1,70.2,OH2,1,2,51,51,51,5.9,529,0.12,No,No,No,Yes,No,3.8,7.7,13.2,5,2.4,364.3,92.9,70.4,1480,75,473,No,11 + 53B,,S-1,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1384-AB,Sulzer,ZF 200-560,GA\Kangan-C2-Recovery\10-P-1384-AB.pdf
Debutanizer Reflux Pumps,Butane,110,70,OH2,1,4,60,60,60,7.5,517,0.11,No,No,Yes,,No,7.66,12.35,11.21,2.56,1.5,127,60,62,2950,22,241,No,11 + 53 + 61,48,LTCS,,,Ex n IIA T3,SP 09-10,107-P-102-202-AB,KSB,RPHI / 100-280,GA\SP-09-10\107-P-102-202-AB.pdf
Debutanizer Reflux Pump,Butane,110,70,OH2,1,4,60,60,60,7.5,517,0.11,No,No,Yes,,No,6.66,11.35,10.21,2.37,1,170,30,62,1475,30,484,No,11 + 53 + 61,40,,No,,Ex n IIB T3,SP 20-21,107-P-102-202-AB,IIP,OHC 100-500 ,GA\SP-20-21\107-P-102-202-AB.pdf
Recovered Propane Transfer Pump,Propane,81.2,69.4,OH2,1,2,-19,-19,-18,3.07,552,0.15,No,No,No,,No,3.21,3.21,6.97,1.74,1.1,91.2,37,30,1450,37,460,No,11 + 52,42,S-6(LCB),,,Ex n IIB T3  ,SP 09-10,147-P-109-AB,Flowserve,3HPX22A,GA\SP-09-10\147-P-109-AB.pdf
Recovered Propane Transfer Pump,Propane,81.2,69.4,OH2,1,4,-19,-18,-18,3.07,552,0.15,No,No,No,,No,2.21,18.28,5.97,6.14,0.6,133,,55,1475,30,456,No,13 + 52 + 61,40,S-6(LCB),No,,Ex n IIB T3,SP 20-21,147-P-109,IIP,OHC 100-500 ,GA\SP-20-21\147-P-109.pdf
Condensate Return Pump,Water,22.3,68.5,OH2,1,4,80,80,102,1,956,0.27,No,No,No,,No,1.31,6.54,7.73,2.33,1.2,30.9,11.9,31.2,2950,18.5,240,No,23 + TI + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,108-P-105-405-AB,Flowserve,1.5 HPX13A,GA\SP-09-10\108-P-105-405-AB.pdf
Polishers Feed Pumps,POLISHER FEED WATER,275,68.3,OH2,1,2,54,54,54,0.15,996,0.84,No,No,No,No,No,1.1,1.88,7.7,8.8,3.8,334,85,72,1480,90,500,No,11 + 61,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1613-AB,CW Hydro,HB 200x150-315,GA\Kangan-Olefin\20-P-1613-AB.pdf
Cold Train Condensate Pump ,C2 Minus Hydrocarbons ,350,68,OH2,1,2,-78,-78,-78,30.65,500,0.11,No,,,,No,29.79,29.79,33.12,3.2,2.2,,114,72,1480,55,475,No,13 + 53,48,A-8,,,Ex n IIB T3,Marun,10-P-3372-AB,Ruhrpumpen,SVN8 6x21 V ,GA\Marun\10-P-3372-AB.pdf
Fresh Amine Transfer Pump,DEA,20,68,OH2,1,1,50,50,50,0.2,1100,3,Yes,No,Yes,,No,-0.2,0.47,6.5,3.67,3.5,27,,28,2950,30,245,No,11 + 61,40,S-8,No,,Ex n IIB T3,SP 20-21,146-P-106,IIP,OHC 50-250 ,GA\SP-20-21\146-P-106.pdf
Fresh Amine Transfer Pump,DEA,20,68,OH2,1,1,20,20,20,0.2,1000,100,Yes,No,Yes,,No,-0.2,0.52,7.1,3.67,3.5,27,,28,2950,30,245,No,11 + 61,40,S-8,No,,Ex n IIB T3,SP 20-21,146-P-106,IIP,OHC 50-250 ,GA\SP-20-21\146-P-106.pdf
MP Flare Stacks Pumps - Phase 9&10,Wet Sour HC / Sour Oily Water,20,65.1,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,1.19,5.1,7.74,2,1.3,25,7,35.3,2950,15,236,No,11 + 53,42,S-8(LCB),,,Ex n IIB T3  ,SP 09-10,140-P-106-206-AB,Flowserve,1.5HPX10A,GA\SP-09-10\140-P-106-206-AB.pdf
MP Flare Stacks Pumps,Wet Sour HC / Sour Oily Water,20,65.1,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.19,3.87,4.02,6.2,1,28,,45,2950,5.5,235,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-106-206-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-106.pdf
MP Flare Stacks Pumps,Wet Sour HC / Sour Oily Water,20,65.1,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.36,4.1,6.74,6.2,1,28,,45,2950,5.5,235,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-106-206-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-106.pdf
Polished Water Pumps,Polished Water,300,65,OH2,1,2,54,54,54,0.15,986,0.51,No,No,No,No,No,1,1.73,7.3,8.8,3.85,339,90,74,1485,90,451,No,23 + 61,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1604-AB,CW Hydro,HB 200x150-500,GA\Kangan-Olefin\20-P-1604-AB.pdf
Debutanizer Reflux Pump ,C4 Hydrocarbons ,59,65,OH2,1,2,56,56,56,7,547,0.12,No,,,,No,6.23,6.23,9.68,4.6,2.7,,7,60,2900,15,241,No,11 + 52,40,S-1,,,Ex n IIB T3,Marun,10-P-4471-AB,KSB,RPH 50-280 ,GA\Marun\10-P-4471-AB.pdf
Steam Condensate Pump,Water,47,63,OH2,1,8,148,148,148,4.5,919,0.19,No,No,No,,No,4,8.8,9.7,4.4,3.2,52,,54,2950,18.5,223,No,23 + 61,40,S-8,No,,Ex n IIB T3,SP 20-21,101-P-104-204-304-404-AB,IIP,OHC-80-250 ,GA\SP-20-21\101-P-104-204-304-404-AB.pdf
Storage Pumps,Lean Mdea Solution,100,62.7,OH2,1,2,5,60,60,0.19,1046,5.4,Yes,Yes,Yes,,No,-0.07,0.68,6.37,4.93,2.4,107,20,71,2950,37,233,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-508-608,IIP,OHC 80-250 ,
Condensate Pumps,Condensate,84,62.5,OH2,1,4,107,107,107,1.3,952,0.3,No,No,No,,No,0.4,2.61,6.24,2.8,2,105,20,67,2950,30,229,No,23 + 61,40,S-5,No,,Ex n IIB T3,SP 20-21,108-P-533-633-AB,IIP,OHC 80-250 ,
Amine Filtration Pump,Lean Amine,35,62.3,OH2,1,8,40,40,40,0.13,1036,4.5,Yes,Yes,Yes,,Yes,1.02,2.1,7.36,6.5,2.5,35.2,3.5,59.9,2940,18.5,220,No,11 + 53 + 61,49,A-8,,,Ex n IIA T3,SP 09-10,101-P-109-209-309-409-AB,KSB,RPH 40-231,GA\SP-09-10\101-P-109-209-309-409-AB.pdf
Amine Filtration Pump,Lean Amine,35,62.3,OH2,1,8,40,40,40,0.13,1036,4.5,Yes,Yes,Yes,,Yes,0.02,1.1,6.36,6,2.8,51,10,62,2950,18.5,218,No,11 + 53 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,101-P-109-209-309-409-AB,IIP,OHC 80-250 ,GA\SP-20-21\101-P-109-209-309-409-AB.pdf
Steam Condensate Pumps,LP Condensate,303,62,OH2,1,2,132,132,132,1.9,933,0.21,No ,No,No,,No,2.1,7.8,7.7,3.5,2.2,320,96,70,1450,75,427,No,23 + 61,40,S-8,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-445-P-1-AB-,DeepBlue,EAP 200K4-500,GA\Bushehr-Gas-Sweetening\01-445-P-1.pdf
Spent Caustic Circulation Pump,Spent Caustic ,118,62,OH2,1,2,44,44,44,0.09,1040,0.75,No,,,,No,1.38,1.38,7.7,20,4.5,,30,66,2970,37,243,No,11 + 61,40,A-8,,,Ex n IIB T3,Marun,10-P-2775-AB,Ruhrpumpen,SVN8 3x11 ,GA\Marun\10-P-2775-AB.pdf
BFW Pump For Cracking Furnace,Boiler Feed Water ,285,1170,BB5,9,3,115,115,115,1.69,947,0.23,No,,,,No,1.43,1.43,110.13,8,6,,80,74,2980,1345,310,,23,207,C-6,,,Ex n IIB T3,Marun,10-P-5471-ABC,Sulzer,GSG 125-330/9 ,GA\Marun\10-P-5471-ABC.pdf
BFW Pump ,Boiler Feed Water ,55,520,BB5,10,3,45,45,45,0.1,990,0.6,No,,,,No,1.24,1.24,51.74,20,2.5,,12,61,2980,160,210,,11,100,C-6,,,Ex n IIB T3,Marun,10-P-5472-ABC,Sulzer,GSG 50-220/10 ,GA\Marun\10-P-5472-ABC.pdf
Acid Water Pump,Acid Water (Acid Gas Condensate),20,61.7,OH2,1,8,35,35,60,0.2,995,0.7,Yes,No,Yes,,No,1.85,4.8,7.8,16.3,1.7,19.7,3,35.8,2950,15,224,No,11 + 53,42,A-8,,,Ex n IIB T3  ,SP 09-10,108-P-101-201-301-401-AB,Flowserve,1HPX11A,GA\SP-09-10\108-P-101-201-301-401-AB.pdf
Recycle Water Pumps,Salty Water,20,60,OH2,1,2,84,90,90,11.48,970,1.2,Yes,,No,,,20.83,28.43,24.25,2.5,1.9,18.5,3,37,2930,15,220,No,11 + 53B,40,D-2,Yes,,Ex d IIB T4,Arvandan,0211-PA-001-2-3-AB,Deep Blue,APIFLO-P 32K2-250,GA\Arvandan\0211-PA-001-2-3-AB.pdf
Cold Slop Pump ,Water + Gasoline ,11,52,VS6,1,1,45,45,45,0.46,847,0.57,No,,Yes,,No,0.12,0.12,4.44,,2.2,,4,31,2900,5.5,155,,13 + 52,40,S-1,,,Ex n IIB T3,Marun,10-P-7071,Ruhrpumpen,VLT 2x8x2 ,GA\Marun\10-P-7071.pdf
1st Condensate Recycle Pump,Hexane,110,60,OH2,1,2,40,40,48,0.5,625,0.23,No,No,No,Yes,Yes,4.34,7.64,11.32,78.9,2.4,107.5,35,70,2953,22,234,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-202-AB,IIP,IOH2-80-250,GA\Kangan-HDPE\40-P-202-AB.pdf
Ethylene Pump ,Ethylene ,274,905,VS6,9,2,-103,-103,-103,1.05,566,0.16,No,,,,No,0.28,0.28,50.52,2,1,,140,75,2960,160,300,,13 + 53,77,A-8,,,Ex n IIB T3,Marun,10-P-9071-AB,Ruhrpumpen,VLTV 8x13x9 ,GA\Marun\10-P-9071-AB.pdf
Propylene Pump ,Propylene ,74,420,VS6,7,2,15,15,15,9,522,0.1,No,,,,No,8.12,8.12,29.62,2.5,1.5,,30,72,2960,90,220,,13 + 52,40,S-1,,,Ex n IIB T3,Marun,10-P-9171-AB,Ruhrpumpen,VLT 3x9x7 ,GA\Marun\10-P-9171-AB.pdf
2nd Slurry Transfer Pump,SLR,135,60,OH2,1,2,67,67,67,0.99,697,14,No,No,No,Yes,Yes,0.45,0.45,4.55,6.6,3.3,168,50,68.8,2970,30,221,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-221-ABC,IIP,IOH2-100-250 BE,GA\Kangan-HDPE\40-P-221-ABC.pdf
C2 Plus Tank Pump ,C2+ Hydrocarbons ,207,445,VS6,5,3,-87,-87,-87,1.06,591,0.23,No,,,,No,0.17,0.17,25.97,2,1,,55,72,2960,250,281,,13 + 53,40,A-8,,,Ex n IIB T3,Marun,10-P-9671-ABC,Ruhrpumpen,VLTV 6x11x5 ,GA\Marun\10-P-9671-ABC.pdf
2nd Condensate Recycle Pump,Hexane,110,60,OH2,1,2,40,40,48,0.5,632,0.24,No,No,No,Yes,Yes,3.15,7.65,11.36,58.8,2.4,103.2,35,70.3,2953,22,234,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-222-AB,IIP,IOH2-80-250,GA\Kangan-HDPE\40-P-222-AB.pdf
Off-Spec Condensate Recycle Pump,Off-Spec Condensate / Water,13,475.6,VS6,14,1,-1,35,35,0.97,1000,0.72,,,,,,2.21,2.21,5.97,2.59,1.1,16,6,41,2950,55,169,No,14 + 53B,65,S-5,Yes,Level 3,Ex d/e IIB T3 ,NGL 3100,P-3112-01,Deep Blue,LDB 20-35X14-B,GA\NGL-3100\P-3112-01.pdf
Condensate Transfer Pumps,HC Condensate,6.6,229,OH6,1,2,-1,35,35,0.76,969,0.29,,,,,,67.9,85.2,70.9,1.8,1.02,6.6,3,28,18000,,101,Yes,13 + 52,40,S-5,No,Level 2,,NGL 3100,P-3112-02-AS,Deep Blue,EGS-L2-7/229,GA\NGL-3100\P-3112-02-AS.pdf
Water Reflux Pump Amdea,Water,29,59.7,OH2,1,2,45,45,45,1.5,990,0.6,Yes,No,No,No,No,-0.1,0.5,28.9,3.5,1.3,32,7,52,2920,15,223,No,11,,A-8,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1484-AB,Sulzer,ZF 40-250,GA\Kangan-C2-Recovery\10-P-1484-AB.pdf
Pentane Transfer Pumps,Pentane (C5+),11,59,OH2,1,2,40,40,40,1.36,603,0,No ,No,Yes,,No,1.5,8.3,5,2.6,1.6,17,4,33,2950,7.5,215,No,11 + 52,40,S-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-405-P-3-AB,DeepBlue,EAP 32K2-250-9,GA\Bushehr-Gas-Sweetening\05-405-P-3.pdf
Amine Drain Sump Pump,Confirm,11.4,97.5,VS1,1,1,-1,51,51,0.96,1052,39.47,,,,,,-0.98,-0.56,3.95,2.37,1.7,13.9,3,19,2950,37,272,No,14 + 53B,40,S-8,Yes,Level 3,Ex d IIB T3 ,NGL 3100,P-3120-04,Deep Blue,LYA 25-315-IA,GA\NGL-3100\P-3120-04.pdf
Sour Water Stripper Feed Pumps,Sour Water,25,59,OH2,1,4,83,83,83,1.3,969,0.34,Yes,No,Yes,,No,1.6,5,7.4,5,1.5,30.8,6,46.9,2900,11,223,No,11 + 53,42,D-1,,,Ex n IIB T3  ,SP 09-10,109-P-101-A-D,Flowserve,1.5HPX10A-1B-4-P33N,GA\SP-09-10\109-P-101-A-D.pdf
Propane Truck Unloading Pump,Propane (C3),10,22.8,VS6,3,1,-43,85,85,34.57,583,0.2,,,,,,-1,2.7,3.5,1.61,0.5,11,3,40,1450,4,166,No,14 + 52,40,S-5(LCB),No,Level 3,Ex d/e IIB T3 ,NGL 3100,P-3145-01,Deep Blue,LDB 30-35X3-B,GA\NGL-3100\P-3145-01.pdf
C2+Transfer Pumps,C2+,178.2,604,BB5,5,3,-1,47,49,34.9,517,0.07,,,,,,6.3,8.5,10.6,7,4,200,44,68,2950,280,320,No,11 + 52,100,S-5(LCB),No,Level 3,Ex d/e IIB T3,NGL 3100,P-3170-02-ABS,Deep Blue,DCS 200-135X5-K,GA\NGL-3100\P-3170-02-ABS.pdf
C2+ Off-Spec Return Pump,Off-Spec C2+,46.2,1052,OH6,1,1,-1,54,62,38.05,516,0.11,,,,,,4,8.8,9.7,22.7,13.7,46.2,15,47.5,28000,,116,Yes,13 + 52,110,S-5(LCB),No,Level 3,,NGL 3100,P-3170-03,Deep Blue,EGS-L4-46/1052,GA\NGL-3100\P-3170-03.pdf
Treated Steam Condensate Pumps,Treated Steam Condensate,114.1,50,VS6,3,3,-1,95,95,0.83,952,0.29,,,,,,29.4,39.8,34,1.7,1.5,142,40,65,1450,30,242,No,21 + 61,40,S-6,No,Level 2,Ex d/e IIB T3,NGL 3100,P-3181-01-ABS,Deep Blue,LDB 160A-18.5X3-BA,GA\NGL-3100\P-3181-01-ABS.pdf
HP Boiler Feed Water Pumps,Boiler Feed Water,48,580,BB3,13,3,115,115,115,1.69,938,0.24,,,,,,29.1,39.29,34.1,11.2,3,49,13.5,55.5,2950,160,206,No,23 + 61,80,S-6,No,Level 2,Safe Area,NGL 3100,P-3181-03-ABS,Deep Blue,SCSK 25-50x13,GA\NGL-3100\P-3181-03-ABS.pdf
LP Boiler Feed Water Pumps,Boiler Feed Water,91,205,BB2,2,3,115,115,115,1.69,938,0.24,,,,,,0,2.5,5.87,11.27,2.5,93,35,63,2950,90,288,No,23 + 61,40,S-6,No,Level 2,Safe Area,NGL 3100,P-3181-04-ABS,Deep Blue,HDD 100-200x2,GA\NGL-3100\P-3181-04-ABS.pdf
Sour Water Stripper Feed Pumps,Sour Water,43.8,59,OH2,1,4,72,72,72,1.3,998,0.39,Yes,No,Yes,,No,0.59,4.32,6.38,2.6,1.25,57,10,57,2950,18.5,219,No,11 + 53 + 61,40,D-1,Yes,,Ex n IIB T3,SP 20-21,109-P-101-A-D,IIP,OHC 50-250 ,
Amine Filtration Pump,Lean Amine,15,58.6,OH2,1,4,55,55,55,0.23,1039,2.06,Yes,Yes,Yes,,Yes,1.02,1.5,7,7.7,1.5,17.8,3,31.7,2950,11,215,No,11 + 53 + 61,42,A-8,,,Ex n IIB T3  ,SP 09-10,116-P-119-219-AB,Flowserve,1HPX11A,GA\SP-09-10\116-P-119-219-AB.pdf
Amine Filtration Pump,Lean Amine,15,58.6,OH2,1,4,55,55,55,0.23,1039,2.06,Yes,Yes,Yes,,Yes,0.02,0.5,6,7.7,1.3,16.5,3,29,2950,15,184,No,11 + 53 + 61,40,A-8,Yes,,Ex n IIB T3,SP 20-21,116-P-119-219-AB,Deep Blue,APIFLO-P 32K2-250 ,GA\SP-20-21\116-P-119-219.pdf
Steam Condensate Pumps,Steam Condensate,40,58.5,OH2,1,2,100,107,107,1.3,958,0.3,No,No,No,,No,1.34,3.5,6.84,2.93,1.5,44.9,6.3,55.4,2940,18.5,221,No,23 + 61,45,S-6,,,Ex n IIA T3,SP 09-10,100-P-102-AB,KSB,RPH 50-230,GA\SP-09-10\100-P-102-202-AB.pdf
Steam Condensate Pumps,Steam Condensate,40,58.5,OH2,1,4,100,107,107,1.3,958,0.3,No,No,No,,No,0.64,2.5,5.84,3.7,1.2,57,10,56,2950,18.5,216,No,23  +  61,40,S-6,No,,Ex n IIB T3,SP 20-21,100-P-102-202-AB,IIP,OHC 50-250 ,GA\SP-20-21\100-P-102-202-AB.pdf
Bulk Caustic Soda Transfer Pumps ,Caustic Soda 45% wt,26.1,58.4,OH2,1,2,15,48,48,0.03,1430,20,Yes,Yes,Yes,No,No,5,7.3,31.3,3.87,1.3,29.7,6.1,41.1,2950,22,223,No,11 + 61,49,A-8,No,Level 2,Ex e IIB T3 ,Kangan Utility & Offsite,87-P-7002-AB-,Sulzer,2x3x9A-1-OHH,GA\Kangan-Utility-&-Offsite\87-P-7002-AB.pdf
Cold Closed Hc Drain Pump,HC,30,125.9,VS1,1,1,-25,30,30,0.96,650,0.33,,,,,,0.06,0.57,3.25,3.3,2.6,37,10,36,2950,30,300,No,14 + 53B,40,A-7,No,Level 3,Ex d IIB T3 ,NGL 3100,P-3190-01,Deep Blue,LYA 40-315-I,GA\NGL-3100\P-3190-01.pdf
Wet Closed HC Drain Pump,HC / Glycolated Water,30,125.9,VS1,1,1,-1,30,51,0.96,1052,1,,,,,,0.34,2.5,5.84,3.3,2.6,37,10,36,2950,45,300,No,14 + 53B,40,S-8,Yes,Level 3,Ex d IIB T3 ,NGL 3100,P-3190-02,Deep Blue,LYA 40-315-I,GA\NGL-3100\P-3190-02.pdf
Wet Closed HC Drain Pump,HC / Glycolated Water,30,125.9,VS1,1,1,-1,30,51,0.96,1052,1,,,,,,1.5,5.6,5.47,3.5,2.6,37,10,36,2950,45,300,No,14 + 53B,40,S-8,Yes,Level 3,Ex d IIB T3 ,NGL 3100,P-3190-03,Deep Blue,LYA 40-315-I,GA\NGL-3100\P-3190-03.pdf
Steam Condensate Pumps,Steam Condensate,22.6,58.3,OH2,1,8,103,103,103,1.1,952,0.27,No,No,No,,No,1,3.5,6.87,3.06,1.1,24.2,3.1,46.5,2940,11,220,No,23 + 61,45,S-6,,,Ex n IIA T3,SP 09-10,105-P-103-203-303-403-AB,KSB,RPH 40-231,GA\SP-09-10\105-P-103-203-303-403-AB.pdf
Steam Condensate Pumps,Steam Condensate,22.6,58.3,OH2,1,8,103,103,103,1.1,952,0.27,No,No,No,,No,0,2.5,5.87,2.56,1,25,,50,2950,9.2,218,No,23 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,105-P-103-203-303-403-AB,IIP,OHC 40-250 ,GA\SP-20-21\105-P-103-203-303-403-AB.pdf
Reflux Pump,Sour Condensate,36,58.1,OH2,1,4,45,45,45,1.92,990,0.59,Yes,Yes,Yes,,No,1.33,4.17,6.96,5.02,1.2,51,9,55,2950,18.5,211,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-506-606-AB,IIP,OHC 50-250 R ,
Quench Sour Water Pumps,Quench Sour Water,420,58,OH2,1,2,69,69,69,0.3,980,0.4,Yes ,No,Yes,,No,0.5,5.5,6.1,12.1,3.9,400,96,74,1450,110,437,No,11 + 53B,40,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-1-AB,DeepBlue,EAP 200K4-500-9,GA\Bushehr-Gas-Sweetening\01-130-P-1.pdf
AGRU Reflux Pumps,Sour Water,61,57.2,OH2,1,2,45,45,45,0.1,989,0.61,Yes ,No,Yes,,No,0.88,4.1,6.43,18.6,2.7,60,11,57.5,2950,30,228,No,11 + 53B,40,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-120-P-2-AB-,DeepBlue,EAP 50K2-250-9,GA\Bushehr-Gas-Sweetening\01-120-P-2.pdf
Feed Separator Reflux Pump ,Ethane Reflux,340,57,OH2,1,2,-8,-8,-8,19.8,428,0.06,No,,,,No,18.99,18.99,21.38,4.8,2.6,,35,71.5,1470,37,444,No,11 + 53,40,S-1,,,Ex n IIB T3,Marun,10-P-1971-AB,KSB,RPH 150-501 ,GA\Marun\10-P-1971-AB.pdf
Steam Condensate Pumps,Steam Condensate,3.3,55.2,OH2,1,8,103,103,105,1.1,952,0.27,No,No,No,,No,1.43,3.5,6.58,3.46,0.95,9.2,4.1,29,2925,5.5,211,No,23 + 61,45,S-6,,,Ex n IIA T3,SP 09-10,104-P-102-202-302-402-AB,KSB,RPH 25-230,GA\SP-09-10\104-P-102-202-302-402-AB.pdf
Steam Condensate Pumps,Steam Condensate,3.3,55.2,OH2,1,8,103,103,105,1.1,952,0.27,No,No,No,,No,0.43,2.5,5.58,3.6,1.5,4.1,1.5,23,2950,4,206,No,23 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,104-P-102-202-302-402-AB,Deep Blue,APIFLO-LF 40-25-200A ,GA\SP-20-21\104-P-102-202-302-402-AB.pdf
Slurry,1st Slurry Cooler Pump,2500,55,OH2,1,2,85,85,85,1.6,699,14,No,No,No,Yes,Yes,1.74,8.24,12.01,16.5,4.5,2360,,85,994,400,673,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-203-AB,IIP,IOH2-400-728,GA\Kangan-HDPE\40-P-203-AB.pdf
Slurry,2nd Slurry Cooler Pump,2500,55,OH2,1,2,85,85,85,1.6,699,14,No,No,No,Yes,Yes,1.74,8.24,12.01,16.5,4.5,2360,,85,994,400,673,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-223-AB,IIP,IOH2-400-728,GA\Kangan-HDPE\40-P-223-AB.pdf
Heavy Oil Pump ,Oil + Tar + Coke ,5,54,OH2,1,2,89,89,89,1.6,1140,4,No,,,,Yes,0.85,0.85,4.93,3.5,2,,2.5,21,2930,18.5,197,No,32 + 52,47,S-6,,,Ex n IIB T3,Marun,10-P-2375-AB,Ruhrpumpen,SVN 1x8 Slurry ,GA\Marun\10-P-2375-AB.pdf
HP Wet Flare Pumps,Wet Sour HC / Sour Oily Water,20,54,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.16,14.3,2.72,2,1,26.5,,46,2950,11,221,No,11 + 53M + 61,40,LTCS,Yes,,Ex n IIB T3,SP 20-21,140-P-101-201-AB,IIP,OHC 40-250 ,GA\SP-20-21\140-P-101.pdf
