Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Sulphur Transfer Pumps,Liquid Sulphur,5,18.3,VS4,1,4,135,135,135,0,1780,8.2,Yes ,No,Yes,,No,0.1,0.7,3.3,6.2,1.6,6,1.3,13,2950,7.5,142,No,53B + 61,20,A-7,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-140-P-1-AB,DeepBlue,LGJ 25-200-A-14,GA\Bushehr-Gas-Sweetening\01-140-P-1.pdf
Rich MEG Pumps,Aqueous MEG Solution (33-50 %wt),73,139,OH2,1,2,5,59,40,0.16,1034,5.4,Yes,No,Yes,,No,1,2.1,14.8,7.2,2.4,98.8,33.7,50.2,2975,75,333,No,11 + 53,42,S-6,,,Ex n IIB T3  ,SP 09-10,102-P-105-AB,Flowserve,3HPX15A,GA\SP-09-10\102-P-105-AB.pdf
Sour Water Sump Pump,Sour Water,15,29.5,VS1,1,2,69,69,69,0.3,974,0.41,Yes ,No,Yes,,No,0.25,3.6,3.07,10.1,1.2,18,5,38,2950,5.5,162,No,14 + 53B,40,A-8,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-150-P-2-AS,DeepBlue,LDB 20-35-B-V,GA\Bushehr-Gas-Sweetening\01-150-P-2.pdf
Sour Water Sump Pumps,Sour Water,7.5,34.7,VS1,2,2,100,100,100,1.2,948,0.28,Yes ,No,Yes,,No,0.2,3.6,3.43,0.1,0.8,7.2,2,20,2950,5.5,139,No,14 + 53B,40,A-8,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-160-P-1-AB,DeepBlue,LDB 8.5-25X2-B-V,GA\Bushehr-Gas-Sweetening\01-160-P-1.pdf
High Pressure Flare Dea / Hc Pumps,DER / HC,30,157,VS6,5,2,-10,60,90,1.4,1022,0,Yes ,No,No,,No,2.6,6.2,12.5,1.4,1.5,30,8,39,2950,45,178,No,14 + 53B,40,S-8,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-415-P-1-AB-,DeepBlue,LDB 30-35X5-B,GA\Bushehr-Gas-Sweetening\01-415-P-1.pdf
Rich MEG Pumps,Aqueous MEG Solution,73,139,OH2,1,2,59,59,70,0.16,1015,1.2,Yes,No,Yes,,No,0,1.1,13.8,2.1,3.2,90,10,65,2950,75,324,No,11 + 53A + 61,40,S-6,Yes,,Ex n IIB T3,SP 20-21,102-P-105-AB,IIP,OHC 80-315 ,GA\SP-20-21\102-P-105-AB.pdf
Sulphur Plants Boiler Feed Water Pumps,Boiler Feed Water,50,137,OH2,1,3,115,115,119,1.7,947,0.24,No,No,No,,No,2.6,5.87,15.5,7,2.5,56,6.3,49,2960,55,328,No,23 + 61,46,S-6,,,Ex n IIA T3,SP 09-10,121-P-104-ABC,KSB,RPH / 50-360,GA\SP-09-10\121-P-104-ABC.pdf
HP Boiler Feed Water Pumps,Boiler Feed Water ,21,615,OH6,1,2,123,123,123,2.2,940,0.22,No ,No,No,,No,2.56,5.18,58.9,13,5,21,12,41.5,15341,110,111.5,No,21 + 61,100,C-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-460-P-1-AB,DeepBlue,EGS L1-21/615,GA\Bushehr-Gas-Sweetening\01-460-P-1.pdf
Rich MEG Pumps,Aqueous MEG Solution,72,136,OH2,1,2,5,5,5,0.16,1034,5.4,Yes,No,Yes,,No,0,1.1,13.8,4.57,3.2,90,10,65,2950,75,324,No,11 + 53A + 61,40,S-6,Yes,,Ex n IIB T3,SP 20-21,102-P-105-AB,IIP,OHC 80-315 ,GA\SP-20-21\102-P-105-AB.pdf
Depropanizer Product Pumps,Propane (C3),132,133,OH2,1,2,44,44,44,15.3,460,0,No ,No,Yes,,No,15.5,18.29,21.5,3.4,2.3,145,48,57,2950,55,343,No,11 + 52,40,S-1,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-320-P-1-AB-,DeepBlue,EAP 80K3-400-9,GA\Bushehr-Gas-Sweetening\05-320-P-1.pdf
